,Bintang,Pengguna,Komen,Tanggal
326,Rated 5 stars out of five stars,Putri Gita,"untuk melihat produk di aplikasi sudah cukup jelas tapi yang kurang jelas di aplikasi adalah pd bagian checkout harga, tidak keluar harga per-detailnya, di bagian profil dan chat jg terpotong","March 4, 2020"
327,Rated 3 stars out of five stars,sazs p.,"Sayur Box mempermudah pembelian sayur2an, buah2an dan barang keperluan dapur lainnya namun akan lebih baik apabila alamat bisa diinput secara manual tanpa menggunakan feature GPS agar mempermudah jasa penghantar dalam menghantar pesanan dan juga mudah bagi user untuk memberikan alamat lengkap. Mudah...
Full Review","March 5, 2020"
328,Rated 5 stars out of five stars,arini arini,Luar biasa.. pesanan sampai lebih cepat jam nya dari ekspektasi. Sayuran masih sehar dan murah.. Untuk pengalaman pertama tidak mengecewakan,"March 2, 2020"
329,Rated 5 stars out of five stars,bella nabila,"Hallo sayur box, saya merasa terbantu bgt dengan adanya sayur box. Tp saran saya tlg dong diadain transaksi pembayaran di tempat","February 27, 2020"
330,Rated 5 stars out of five stars,Santhy Arga,Sangat membantu belanja sayuran tanpa harus ke pasar,"February 29, 2020"
331,Rated 5 stars out of five stars,Lubna Ayundia,Kode refferal saya yah ini 3WQ7LMZNE,"March 9, 2020"
332,Rated 5 stars out of five stars,nita mulyasari,Aplikasi berfungsi dengan baik.,"March 5, 2020"
333,Rated 4 stars out of five stars,ratna yuniar,Aplikasi yang membantu,"March 3, 2020"
334,Rated 5 stars out of five stars,earlyna rachmonandes,Pelayanan cepat,"February 27, 2020"
335,Rated 5 stars out of five stars,Yoniza,helping me so much,"March 8, 2020"
336,Rated 5 stars out of five stars,sigit wahyu wijayanto,Bagus.,"March 2, 2020"
337,Rated 4 stars out of five stars,Koriyah Syarma,Bagus ..,"February 22, 2020"
338,Rated 5 stars out of five stars,Meiriyanti Chandra,Ok,"March 2, 2020"
339,Rated 5 stars out of five stars,Minda Septiani,Keren,"March 6, 2020"
340,Rated 4 stars out of five stars,Angela Nguyen,Good,"March 2, 2020"
341,Rated 5 stars out of five stars,irna ulfah,Good,"March 1, 2020"
342,Rated 4 stars out of five stars,Desy Huang,"Aplikasi yang bagus and make our life more easier 😁😁 But I saw some bugs in this app, pas di order, status ordernya gagal transaksi (padahal lagi diproses), bikin miss leading. Lalu track ordernya juga tidak update, padahal sudah dikirm sayurnya, tapi di aplikasi masih dikemas.","March 4, 2020"
343,Rated 3 stars out of five stars,Sri Winda Melati,"Ada kode referral tapi berkali2 invalid. Terus kodenya berubah2 terus. Sayang sekali, fitur tsb sangat tidak berguna 😒 Rev: Tadinya ngasih bintang 1 karena kecewa dengan kode referral. Tapi tambahin 2 karena buah dan sayur (bahkan yg imperfect) diterima dalam keadaan segar dan baik. Tetap kecewa de...
Full Review","January 19, 2020"
344,Rated 1 stars out of five stars,Winny Firmaninda,"Udah berkali-kali belanja akhirnya dapat pengalaman ga enak juga, main closed masalah ga ada solusi, jangan beli barang yang gampang busuk disini kurirnya seenaknya nitip-nitipin ga ada konfirmasi","January 30, 2020"
345,Rated 1 stars out of five stars,ravent 2,Kak kenapa ya ini tiap mau click product ny selalu keluar sendiri appnya? Sudah diinstal ulang tp msih begitu. Jadi mengganggu proses memilih,"January 18, 2020"
346,Rated 5 stars out of five stars,Magda Adriani,"Terima kasih Sayurbox. Belanja kebutuhan dapur jadi nyaman dan harga barang juga baik. Semenjak coba, saya sekarang jadi pelanggan tetap 😊 Saran, saya ingin mengembalikan box yang sdh numpuk untuk dimanfaatkan lagi. Apakah Sayurbox bisa ambil?","February 18, 2020"
347,Rated 4 stars out of five stars,Muhammad Abdul Aziz,"Mempermudah belanja sayur, banyak diskon, pengemasan rapi, customer service ramah dan solutif. Namun untuk pilihan metode pembayaran masih kurang banyak, coba ditambah via dompet digital lainnya dan juga untuk ditambah opsi transfer via bank-bank BUMN..","February 12, 2020"
348,Rated 5 stars out of five stars,Martha Esther,"baru pertama kali beli di sayurbox. packing rapi, produk fresh, harga juga cukup bersahabat. dan ga perlu repot ke pasar. :)","February 21, 2020"
349,Rated 4 stars out of five stars,Rinindah Rasa,"Kurir sering datang terlalu cepat, tidak sesuai dengan waktu pengiriman yang saya pilih.","February 3, 2020"
350,Rated 1 stars out of five stars,Srnd Jingga,"Tolong fix bugsnya, dong.. Sering close sendiri, padahal belum ada semenit buka apps. Huft. Gimana mau beli kalau kyk gtu coba?","February 11, 2020"
351,Rated 5 stars out of five stars,Trixie Maximillia,"Mantab.. buah trmsk bgs2 , ada brp x jlk tp jrg lah yg jlk, mayoritas okee. hrga & promo byk jg.. smoga makin byk cashback nya. Thx sb.","March 4, 2020"
352,Rated 5 stars out of five stars,bernike angel,"Salah 1 apps paling membantu dijaman skrg..kualitas Buah dan sayur bagus semua, ditambah free ongkir minimum belanja 100.000","February 23, 2020"
353,Rated 1 stars out of five stars,Yanti Yulianti,"Aku order minggu kemarin,, dan ada beberapa item yang di refund salah satunya anggur,, tapi voucher dari refund gak ada,,, kecewa sih harga anggurnya lumayan soalnya,,, tolong berikan voucher redund saya,,, aku gak bisa screenshot karena aplikasinya cuma loading aja,,,","February 15, 2020"
354,Rated 5 stars out of five stars,arbi rejosumarto,Tidak perlu pusing ke supermarket utk cari buah segar dan lebih lengkap.. Sayurbox dengan segala kemudahan dan promonya sangat membantu...,"February 6, 2020"
355,Rated 5 stars out of five stars,Diana Day,Mantap udh bbrp kali order... memudahkan mom kaya sy yg males ke pasar....sgt praktis bisa belanja sayuran dan buah sambil beresin setrikaan di rmh dan nonton tv. Barang segar dikirim sampai pintu rmh dgn harga yg relatif murah gak cape nawar.,"February 25, 2020"
356,Rated 5 stars out of five stars,Novita Farouk,"Barang yg datang sesuai dgn deskripsinya... bagus 👍 masukan utk sayur box... utk item sayur, buah, beras, tepung terigu, minyak sayur organik mohon dip'banyak yaa 🙏🏻😊","March 5, 2020"
357,Rated 5 stars out of five stars,Vionny Puspita M.Rahman,"membantu sekali dengan penawaran beragam kebutuhan dapur, harga okelah karena diperlukan packing, kualitas hingga saat ini memuaskan.","January 24, 2020"
358,Rated 5 stars out of five stars,Andara Haris,"Selalu puas, alhamdulillah.. Langganan nih, sepekan bisa 1-2x pesan.. Praktis, apalagi kl hujan2 males ke pasar..","January 9, 2020"
359,Rated 5 stars out of five stars,Uka SUW,Aplikasi ini membantu belanja ibu2. Pengiriman cepat & kondisi pesanan selalu bagus saat dikirim.,"February 18, 2020"
360,Rated 5 stars out of five stars,Dewi Pratami,Menyenangkan belanja sayur tidak perlu ribet tinggal klik panen datang Thanks sayur box,"January 22, 2020"
361,Rated 5 stars out of five stars,Elisabeth Ririn,Saya sangat senang menggunakan sayurbox dan saya akan menggunakannya lagi!,"March 4, 2020"
362,Rated 4 stars out of five stars,hime azzahra,Bintangnya kurangi ya. Beberapa kali kecewa kualitas produknya ga sebagus dulu.,"February 28, 2020"
363,Rated 1 stars out of five stars,Irene Setio,memaksa banget untuk di review. aneh aplikasi maksa bgt,"March 6, 2020"
364,Rated 5 stars out of five stars,Karina Devi Anggraini,memudahkan berbelanja kebutuhan dapur dan terkadang promonya membuat kalap berbelanja,"February 13, 2020"
365,Rated 5 stars out of five stars,Tommy Drako,Sangat suka. Benar benar membantu. Semoga bukan murah pas promo saja.,"January 24, 2020"
366,Rated 5 stars out of five stars,ayoe bientang anggarie,"gampang aplikasinya, delivery time tepat waktu. proses komplain cepat.","January 29, 2020"
367,Rated 1 stars out of five stars,Ria riaan,Kenapa tiap dibuka langsung close lagi ya app nya?,"February 10, 2020"
368,Rated 5 stars out of five stars,Yanie Mamoera,Keep improve yaaaah.. setelah pernah kecewa sekali sekarang happy dengan servicenya.. Thank you,"February 18, 2020"
369,Rated 5 stars out of five stars,A Google user,Pesanan sesuai dan pengiriman tepat waktu malah kadang kecepatan 😃👍🏼👍🏼,"March 1, 2020"
370,Rated 4 stars out of five stars,Listiyana Riska,sangat membantu ibu2..saran ditambah opsi pembayarannya plis,"February 29, 2020"
371,Rated 1 stars out of five stars,Billy Putra,"Tidak ada di Surabaya, Malang, Yogya, Denpasar, dll. Terus gunanya apa?","March 5, 2020"
372,Rated 4 stars out of five stars,Hani Nabila,Very helpfull. Tapi terkadang tidak bisa dilacak ketika sedang pengirimiman..,"February 27, 2020"
373,Rated 3 stars out of five stars,Wibisono Yusup,tidak change alamat? alamat di map tidak akurat,"February 27, 2020"
374,Rated 5 stars out of five stars,Renny Anggraeni,Ga perlu ke supermarket lagi 😁,"March 4, 2020"
375,Rated 5 stars out of five stars,Morris Gunawan,Ikan segar dan harga terjangkau..,"February 28, 2020"
376,Rated 5 stars out of five stars,Dyah Asih Mardiati,suka sama buah segarnya,"January 30, 2020"
377,Rated 4 stars out of five stars,Catharina Wied,Sering2 diskon ongkir ya,"February 3, 2020"
378,Rated 5 stars out of five stars,Marianti PaLma,Buah nya bagus2 mantapss,"March 11, 2020"
379,Rated 4 stars out of five stars,Veronika Nisya,Masih kurang banyak buah2annyaa..,"February 14, 2020"
380,Rated 5 stars out of five stars,Tony Computer,Tetap jaya sayurbox !!!,"January 17, 2020"
381,Rated 5 stars out of five stars,Khairuz Zaky,Sayur langsung dari petani..,"March 5, 2020"
382,Rated 1 stars out of five stars,Cecep Gandawesi,aplikasi jabodetabek.... malas... bandung gak bisa pesan,"March 8, 2020"
383,Rated 5 stars out of five stars,Novel DevLover,"The best lah, memudahkan, fresh lagi sayur n buahnya..","February 18, 2020"
384,Rated 5 stars out of five stars,juni rita,"Kesan pertama , sempurna..","February 6, 2020"
385,Rated 5 stars out of five stars,D. Darmawan Amandi Sastra,Memudahkan yang susah,"February 23, 2020"
386,Rated 5 stars out of five stars,rizki amelia,User experience yang menarik dengan tampilan yang ga membosankan,"March 3, 2020"
387,Rated 5 stars out of five stars,Nafidah,Sangat membantu 🥰🥰,"March 3, 2020"
388,Rated 5 stars out of five stars,febrina pandiangan,Friendly app 😍😍😍,"January 22, 2020"
389,Rated 5 stars out of five stars,Jona PoWi,Nice app!,"February 16, 2020"
390,Rated 5 stars out of five stars,moxea007 gmail,Ok.,"January 21, 2020"
391,Rated 5 stars out of five stars,christy indah,Kece,"January 31, 2020"
392,Rated 5 stars out of five stars,Linda Siregar,Memuaskan,"February 1, 2020"
393,Rated 5 stars out of five stars,Galuh Wirama,Puas,"February 10, 2020"
394,Rated 5 stars out of five stars,sya sya,Greaatttttt,"February 23, 2020"
395,Rated 5 stars out of five stars,Tjek Jen,Responsive,"February 21, 2020"
396,Rated 5 stars out of five stars,yuni paramita hutajulu,Mantappppppopp,"March 8, 2020"
397,Rated 5 stars out of five stars,ZIZUNA IS ME,Ok,"March 6, 2020"
398,Rated 5 stars out of five stars,Rent Lauren,gooddd,"March 7, 2020"
399,Rated 5 stars out of five stars,zid fam,Good services 👍,"February 4, 2020"
400,Rated 5 stars out of five stars,yuda putri,Good quality.,"February 16, 2020"
401,Rated 5 stars out of five stars,Janelle Peralta,Nice app😊,"February 12, 2020"
402,Rated 4 stars out of five stars,Eka Hardi,Good product,"February 3, 2020"
403,Rated 5 stars out of five stars,Dwinanto Prayoga,Top mrkotop,"February 5, 2020"
404,Rated 5 stars out of five stars,alek alek,User friendly,"February 7, 2020"
405,Rated 5 stars out of five stars,Riki Nindya Ananda,Very helpfull,"February 19, 2020"
406,Rated 5 stars out of five stars,Cholis ardiansyah,excellent service,"February 17, 2020"
407,Rated 5 stars out of five stars,iva rahayu,Great app,"February 22, 2020"
408,Rated 5 stars out of five stars,kristine ekwinatama,Awesome!!!!,"January 29, 2020"
409,Rated 5 stars out of five stars,Miko Warsito,Good,"January 7, 2020"
410,Rated 5 stars out of five stars,BUDI PRAMANA,good,"January 28, 2020"
411,Rated 5 stars out of five stars,susan indah,Good,"February 2, 2020"
412,Rated 5 stars out of five stars,Edward Siallagan,Nice,"February 5, 2020"
413,Rated 5 stars out of five stars,boby arman,Awesome,"February 5, 2020"
414,Rated 5 stars out of five stars,Hasim Hasim,Excellent,"February 7, 2020"
415,Rated 5 stars out of five stars,Gaby Mikhael,Great,"March 5, 2020"
416,Rated 5 stars out of five stars,Siti Sarah,Great,"March 2, 2020"
417,Rated 5 stars out of five stars,Jeanifer Adrianto,"Belanja sayur dan buah serta kebutuhan lain yang lengkap dg harga yg reasonable juga kualitas yg baik menjadi mudah dg adanya sayur box. Mudah lagi menggunakan applikasinya dan pengiriman pun slalu on time. Sejak pake sayur box, mau mkn sehat jd lbh murah dan mudah","January 14, 2020"
418,Rated 5 stars out of five stars,Lucia Editha,"Baru pertama kali coba sayurbox karena liat story temen, langsung rekomendasiin ke mama dan mama bilang coba beli. Begitu dateng sayurnya fresh, mama suka dan mikir beli sayur di sayurbox aja karena harga mirip-mirip dan lebih gampang lihat sayur tersedia atau ga. Sayur juga tidak dibungkus plastik,...
Full Review","January 14, 2020"
419,Rated 5 stars out of five stars,christabel fernanda,"Suka banget ada pilihan mau pakai plastik atau engga, mungkin bagi beberapa orang itu hal kecil.. Tapi menurut aku itu keren banget apalagi sekarang udah mulai banyak gerakan zero waste kan and it helps me to reduce plastic use.","December 8, 2019"
420,Rated 5 stars out of five stars,Diana Andarini,"produknya bagus2, variasinya banyak ga cuma sayur, ada pilihan organik dan hidroponik. favorit saya telor ayam kampung eggcelent. bisa milih tanggal dan waktu pengiriman, fitur chat customer service fast response dan ramah2. saran utk konfirmasi pembayaran transfer bca dipercepat prosesnya. terima k...
Full Review","December 18, 2019"
421,Rated 2 stars out of five stars,Nadya Meirisa,"Cukup ngebantu kalau males beli keluar, tapi kekurangannya ya jadi ga bisa seleksi kualitas sendiri, contoh, pernah dapet ada beberapa salak yang busuk. Yang bikin ilfeel, akhir-akhir ini pesanan aku suka salah kirim, yang dipesen apa, yang dikirim apa, bukannya praktis malah jadi ribet mesti email ...
Full Review","January 26, 2020"
422,Rated 5 stars out of five stars,tin tin,"Pertama kali order. Dapat sesi 2 antara jam 5 sore Ke malam... Jam 3 an sudah di antar 👍cuma karena saya tidak di rumah yg terima barang tidak kasih tip. Maaf ya. Barangnya sangat oke segar semua. Cuma kok saya tidak dapat surprise buah yg untuk pelanggan baru ya atau promonya sudah habis? Overall ...
Full Review","December 10, 2019"
423,Rated 5 stars out of five stars,Thaliza Gaby,"Memudahkan orang yang malas seperti saya ini hanya saja masih banyak yang perlu diperbaiki ya, masa pesan bayam 2x ga ada terus dan variannya tolong ditambah.","December 10, 2019"
424,Rated 1 stars out of five stars,WISNU WARDHANA,"DUA KALI SALAH KIRIM. PERTAMA PESEN BABY ROMAINE DIKIRIM YANG LAIN. RESPON CS LAMBAT. KEDUA KALI PESEN BABY ROMAINE 3 KG, DIKIRIM CUMA 3 PLASTIK TIMBANGAN (800 GRAM). RESPON BURUK SEKALI GADA SOLUSI. BUAT YANG MAU INSTALL PIKIR DUA KALI DARIPADA RIBET KOMPLAIN.","January 7, 2020"
425,Rated 5 stars out of five stars,NettyCoa Laulyvervel,"Pelayanan sangat memuaskan. Buah/sayur umumnya bagus, kadang kejadian aja rada kurang. Pengiriman selalu sampai dengan selamat. Pernah kejadian bayam kosong, trus ada keterangan dan dibalikin bentuk voucher untuk belanja berikut 👍😀","January 17, 2020"
426,Rated 2 stars out of five stars,Dwi Agustina,Sedih deh pengiriman ke Kabupaten Bekasi belum bisa 😭😭 Pilihan ke kabupaten bekasi nggak ada kak..... Coba cek deh. Udah dari brp bulan yg lalu juga ga ada. Coba yg bekasi tp ternyata cuma kota aja. Tambun ga ada,"December 16, 2019"
427,Rated 1 stars out of five stars,febiola meisy,"Hai, saya mau tanya order saya dengan nomor PG-P8JZ30JNDNM dengan tanggal pengiriman Minggu, 22 Desember 2019. Lemon saya kenapa tidak dikirim? Tolong respon dong. Saya pesan 1 jenis pisang malah dikirim 2 jenis. Saya perlu lemon bukan pisang. Tolong merespon. Saya sngat kecewa","December 25, 2019"
428,Rated 5 stars out of five stars,Tesalonika Ginting,"Sering bgt mager beli buah dan sayur 1. Ga ngerti bgt mana bagus mana engga 2. Pasar jauh 3. Ga ngerti harga jadi gatau udah belanja pinter atau engga 4. Bingung dan gatau mau diolah jd apa Sejak pake sayurbox, belnja jd gampanh, panduan banyak, pilihan banyak, dan udah pasti belanja pinter. Cheeerr...
Full Review","January 11, 2020"
429,Rated 4 stars out of five stars,Nena Delvina,"Referral Code: 88GP5KTWM App ini berguna banget buat aku yg rumahnya jauh dari mana2. Dan kalau weekend bener2 sibuk ga sempet belanja mingguan, langsung klik klik klik bayar done! Pls perbanyak promonya yah. Emak2 suka diskonan! 😂","December 6, 2019"
430,Rated 5 stars out of five stars,Felicia Luo,"Pada saat saya ingin mengisi alamat, tetapi tidak ada pilihan untuk kota jakarta timur... Mohon agar di lakukan pengecekan sistem nya.. terima kasih..","January 14, 2020"
431,Rated 5 stars out of five stars,Neneng Rachmalia Feta,"Buah yang dikirim masih seger2 dan kualitas nya sangat baik, packing juga rapi, pengiriman sesuai pesanan gak telat, rekomen bgt deh.","December 10, 2019"
432,Rated 5 stars out of five stars,tijan baba,"Mantap buah nya segar"". Dan yang saya suka bisa memilih wktu kapan akan dikrim. Ini penting bagi saya yang jarang di rumah 🤙","December 24, 2019"
433,Rated 5 stars out of five stars,Dian Aswinda,"Suka sekali belanja disini. App nya mudah digunakan, harga barang juga murah..banyak promo juga..nikmatnya groceries shopping without living home","February 1, 2020"
434,Rated 5 stars out of five stars,Nancy Sihombing,"Aplikasi nya bagus dan nolong banget buat ibu2 kaya saya. Produk nya oun seger2, sudah belanja berkali2 dan selalu puas","December 6, 2019"
435,Rated 4 stars out of five stars,ampmcomunication,Bagus n cepet. Cuma dapet bbrp buah ada yg busuk oleh ulat dalem nya. Mudsh2n ke depan nya banyak diskon. Hehe,"January 21, 2020"
436,Rated 5 stars out of five stars,Pradita Cynthia Sari,"Pertahankan semuanya ya, dari mulai mudahnya penggunaan aplikasi sampai ke kualitas buah dan sayurannya. Terima kasih semuanyaa.","February 2, 2020"
437,Rated 5 stars out of five stars,Shabrina Annisarasyiq,Belanja jadi gampang banget. Dan buah sayurnya masih seger. Bisa milih kemasan tanpa plastik lagi. Thanks Sayurbox ♥️,"December 28, 2019"
438,Rated 5 stars out of five stars,Syarifah Zuhra Fadyl,Alhamdulillah membantu IRT banget jd ga perlu keluar rumah dan produksi sayur nya ok kesegarannya.,"December 2, 2019"
439,Rated 5 stars out of five stars,annissa endah,Nice. Sangat membantu dikala ibu tak sempat berbelanja ke pasar. ini jd salah satu alternatif yg sangat membantu sekali.,"December 13, 2019"
440,Rated 5 stars out of five stars,Nia Tan,Aplikasi yg sangat membantu. Ga perlu capek belanja diluar rmh 😆. Produknya segar dan packing rapi bgt.,"December 19, 2019"
441,Rated 3 stars out of five stars,Claudia Silalahi,"Hallo.. Aku br download. Aku klik item nya, ko malah keluar ya? Ga bs d klik atau gmn ya?","January 5, 2020"
442,Rated 5 stars out of five stars,Muhammad Baihaki,"Saya memesan buah naga, bawang bombay, brokoli, kentang, jamur champignon, keju mozarella, tepung bumbu & Sari roti. Sayang Sari rotinya direfund jadi voucher yg bisa dipakai di pesanan berikutnya. Agak kecewa tapi puas karena semua produk dikirim dalam kondisi segar. Yang paling keren packing keju ...
Full Review","December 29, 2019"
443,Rated 5 stars out of five stars,Verdynand,"Selalu beli sayur disini,selalu segar dan kondisi baik dengan harga yg masuk akal","January 6, 2020"
444,Rated 5 stars out of five stars,Lia Setiani,"Awalnya ragu, tapi seneng banget waktu sayurnya sampai tepat waktu kemudian sayurnya smuanya segar dan bagus bagus.","January 24, 2020"
445,Rated 2 stars out of five stars,PaolloXevoMusic,"Kenapa hanya ada di wilayah jakarta, padahal wilayah lain juga butuh seperti saya surabaya contohnya","December 3, 2019"
446,Rated 5 stars out of five stars,Novianty Ten,"Apps yg sangat membantu utk belanja buah / sayuran segar, hanya dgn menggerakkan jari","December 27, 2019"
447,Rated 2 stars out of five stars,Hanz Dumbledor,"Salak separo busuk, Order barang promo bbrp macem tp ga dikirim, pas di cek keterangannya infonya habis dan direfund jd voucher, curiga ga bener promo murahnya masa iya semua habis padahal order pas baru dpt notif, kalau habis knp ga bikin stock out biar ga bs diorder? Emg direfund ttp aja itunganny...
Full Review","December 7, 2019"
448,Rated 5 stars out of five stars,Eka YS,Aplikasinya mudah digunakan. Pengiriman barang juga on time. Memudahkan belanja barang yang bagus dg harga murah,"December 27, 2019"
449,Rated 5 stars out of five stars,Nana Jasmine,"Sangat membantuku, semua blnjaan kuterima dg kondisi baik, hemat waktu dan tenaga thankyou sayurbox","January 3, 2020"
450,Rated 1 stars out of five stars,yuani fitri,"Aplikasinya ok, tapi pelayanan untuk komplain buruk sekali! 3 kali pemesanan, 2x kecewa. Komplain di aplikasi sama sekali tidak ditanggapi. Yang terakhir pesan banyak, beberapa buah yang dikirim busuk, rujak jamuran banyak sekali! Akhirnya dm di IG sayurbox, baru ditanggapi beberapa hari kemudian, k...
Full Review","December 28, 2019"
451,Rated 5 stars out of five stars,Husnia Amri,"Aku orangnya mageran, makanya beli lewat sini, walay kadang tiap harinya stoknya beda""","January 17, 2020"
452,Rated 4 stars out of five stars,Icha Myrza,Ngga bisa punya beberapa alamat. Kalo mau kirim buat ortu jd ribet,"December 16, 2019"
453,Rated 1 stars out of five stars,revelin yuanita,"Belanja sayur dan buah secara online yg sangat tidak menyenangkan. Mending kalo mw belanja dsni via tokped aj, kalo timbanganny kurang atau kondisiny buruk bisa minta ganti ato dkirim kekuranganny, secara pembayaran masih dtahan dari sistem tokped. Tp kalo langsung di aplikasi ini g bisa gitu, padah...
Full Review","December 16, 2019"
454,Rated 5 stars out of five stars,Devy Novita,Mantaaapp puas belanja sayur tanpa ribet. Semoga makin banyak variant yg dijualnya.,"November 30, 2019"
455,Rated 5 stars out of five stars,Na Bila,By far ini adalah app termudah dan teruseful untuk pengiriman makanan.,"January 8, 2020"
456,Rated 1 stars out of five stars,Aulia Rahmani,"Pemesanan terparah di sayurbox. Saya pesan hari senin buat dikirim hari rabu. Yiba tiba pesanan saya sudah delivered padahal barang belum diterima. Sekalinya nanya lewat chat katanya saya ga bisa dihubungin, padahal ga ada history telp dari nomer ga dikenal 😅. Akhirnya admin bilang mau dikirim hari...
Full Review","February 6, 2020"
457,Rated 2 stars out of five stars,Dina Millysaphira,"Sayangnya aplikasi ini hanya tersedia untuk wilayah pengiriman jabodetabek, belum tersedia untuk wilayah lainnya","December 10, 2019"
458,Rated 5 stars out of five stars,Diah Rahmawati,"Keren, memudahkan ibu2 kerja yang harus masak pagi tiap hari.","December 1, 2019"
459,Rated 2 stars out of five stars,Rahmawati Sikumbang,"Aplikasinya sangat berguna. Tapi kalau loading kenapa selalu lama, ya..","January 22, 2020"
460,Rated 1 stars out of five stars,Tasha Natalia,Tidak bisa daftar karena tidak terima kode verifikasi di email.,"January 30, 2020"
461,Rated 5 stars out of five stars,Rina Melati,"Pesan jumat, buah alpukat di terima hari sabtu, senin sdh matang, tks","December 16, 2019"
462,Rated 5 stars out of five stars,Eva Andriani,"Aplikasinya mudah digunakan, admin juga responsif. Belanja sayur jadi mudah","January 9, 2020"
463,Rated 5 stars out of five stars,Dellynda Aryani Aswadi,Memudahkan ibu pekerja untuk berbelanja sayuran segar setiap harinya,"December 30, 2019"
464,Rated 5 stars out of five stars,andi GMM,"Pesan sayur dan juga ada udangnya, semua tiba sesuai jadwal dan masih fresh, TOP","December 16, 2019"
465,Rated 2 stars out of five stars,Rizkia Nur Rofiqoh,Sering ketutup sendiri aplikasinya. Padahal butuh bgt belanja,"December 20, 2019"
466,Rated 5 stars out of five stars,Laura Calvarina,Sangat menolong ketika cari sayur dan buah organik,"March 2, 2020"
467,Rated 5 stars out of five stars,firman ramadhani,"Mantab, serasa pasar yg dateng ke rumah hahaha","December 10, 2019"
468,Rated 2 stars out of five stars,Lidya Natalia,"makin lama, kualitas sayur dan buahnya semakin jelek","December 24, 2019"
469,Rated 5 stars out of five stars,dian mutiara,Sangat memudahkan dan kualitas buah ny ok,"December 30, 2019"
470,Rated 5 stars out of five stars,Angel Lukman,Sangat membantu aku sebagai ibu rumah tangga,"January 14, 2020"
471,Rated 5 stars out of five stars,Dian Dwi Putri,"Senang bisa belanja di sini, sayur2nya segar2","January 3, 2020"
472,Rated 5 stars out of five stars,Benny Rinaldi,Buah di terima dalam kondisi layak dan bagus..,"January 27, 2020"
473,Rated 5 stars out of five stars,Aiva Edwards,Suka banget belanja di sayurbox. Mudah dan cepat.,"January 3, 2020"
474,Rated 5 stars out of five stars,Anisa Dwijayanti,Beli sayur dan buah jadi mudah,"December 18, 2019"
475,Rated 1 stars out of five stars,Kunto,Stiap mau order aplikasi balik lg,"January 4, 2020"
476,Rated 5 stars out of five stars,endang sulistyowati,Aplikasi bagus dan mudah digunakan. Pelayanan bagus.,"December 1, 2019"
477,Rated 5 stars out of five stars,mami mimi,"Sayurnya segar segar , dan cepat pelayanannya","December 3, 2019"
478,Rated 5 stars out of five stars,diah anggraini,mempermudah sekali belanja sayur2 organik,"December 4, 2019"
479,Rated 5 stars out of five stars,Dwini M Rispiandayu,Sayur dan buahnya selalu berkualitas,"January 11, 2020"
480,Rated 5 stars out of five stars,HiFaNaFas Journey,"Great.. app nya mudah dan jelas, sayurannya segar dan pengiriman on time","January 14, 2020"
481,Rated 5 stars out of five stars,Tiar Laksana,"Praktis! Memesan sayur,buah, dll tinggal klik, buy, kirim!","February 21, 2020"
482,Rated 5 stars out of five stars,esa wahyudi,"Keren, membuat hidup lebih mudah.","January 28, 2020"
483,Rated 5 stars out of five stars,Robert Santoso,Pelayanan n produk memuaskan.,"December 13, 2019"
484,Rated 5 stars out of five stars,Alvi Juandi,"Tepat waktu, barang berkualitas","January 30, 2020"
485,Rated 5 stars out of five stars,Fera alex s,Luar biasa. Bermanfaat banget aplikasi ini...,"January 4, 2020"
486,Rated 5 stars out of five stars,Nafisah Sungkar,Sayur box sangat membantu👍,"December 24, 2019"
487,Rated 5 stars out of five stars,Hendri Wong,Ok bgt buat belanja,"December 5, 2019"
488,Rated 5 stars out of five stars,Kartika Febiyanti,Sangat membantu dalam berbelanja,"January 13, 2020"
489,Rated 1 stars out of five stars,Dear,Daerah pengiriman hanya jabodetabek,"January 15, 2020"
490,Rated 5 stars out of five stars,Taufan Aria,Murah dan baik semuanya,"January 23, 2020"
491,Rated 5 stars out of five stars,Sunshine Glory,"Ini pertama kali saya belanja di SAYUR BOX, pesanan datang sesuai order. Barang2 yg saya beli dtg dlm kondisi segar. Saya beli tahu, pakcoy, mangga harum manis, jeruk shantang, tomat juga beras..dan..senang sekali dikasih bonus 1 buah pepaya..😁👍👌😁 Jam kedatangan belanjaan juga sesuai waktu yg sy...
Full Review","November 30, 2019"
492,Rated 5 stars out of five stars,Aditya Ramadhan,Sayur2annya bener2 fresh. Makanan minuman jg enak. Dan sehat!,"December 30, 2019"
493,Rated 5 stars out of five stars,Fajar Tri Atmojo,Barang sampai sesuai pesanan..,"January 8, 2020"
494,Rated 5 stars out of five stars,Helga Inneke,Praktis & harga bersaing.,"December 20, 2019"
495,Rated 5 stars out of five stars,Z Ashri,Bagus2 banget pilihannya,"January 13, 2020"
496,Rated 5 stars out of five stars,islah yunia,Lebih banyak promonya,"February 6, 2020"
497,Rated 5 stars out of five stars,Mohammad Irwan,Puas!,"December 13, 2019"
498,Rated 5 stars out of five stars,Dian Meirina,Pelayanannya ok.,"December 21, 2019"
499,Rated 5 stars out of five stars,Satrya Fatih Fajri,Best buat mesen buah dan sayuran,"January 25, 2020"
500,Rated 5 stars out of five stars,Anas Fahreza,"Love Sayurbox. Belanja mudah, murah, mewah :-*","January 18, 2020"
501,Rated 5 stars out of five stars,Sisi Sasa,Langganan niih,"January 18, 2020"
