,Bintang,Pengguna,Komen,Tanggal
43,Rated 5 stars out of five stars,Muhammad Khalid,"Easy way to order fresh produce, farm to table!","November 21, 2019"
44,Rated 1 stars out of five stars,Elia Cokorudy,"I installed this app based on a recommendation of a friend but I was extremely disappointed on my first experience. I received moldy grape & I did not receive an item which I paid already. I emailed the customer care but did not get any response. I texted the customer care through the app, they aske...
Full Review","January 5, 2020"
45,Rated 5 stars out of five stars,Arlene Awuy,Helpful apps to buy healthy veggies for your needs,"November 5, 2019"
46,Rated 5 stars out of five stars,Panca Nugraha Wulansari,Good service..fast delivery and fresh vegetable 👍👍👍👍,"October 26, 2019"
47,Rated 5 stars out of five stars,Wully Ramadhani,Good quality of product n easy application to use,"November 25, 2019"
48,Rated 5 stars out of five stars,venissa cuputra,Very good and usefull,"March 5, 2020"
49,Rated 1 stars out of five stars,Sindhu Subramanya,Please chk ur app. Not able to do anything. The review screen keeps poping for everything.,"December 11, 2019"
50,Rated 5 stars out of five stars,Melisa Andriani,Great! Helpful service,"February 23, 2020"
51,Rated 4 stars out of five stars,Diana S,"1 of my order stuck in progress, cant end","February 29, 2020"
52,Rated 4 stars out of five stars,Yusuf Rahmadi,Should have a feature which user can save their address instead always typing in every order,"November 28, 2019"
53,Rated 4 stars out of five stars,ridha ikhsan,The shopping system is good,"December 23, 2019"
54,Rated 5 stars out of five stars,Rakesh Sharma,Delivery is great. On time. Quality is good. And Prices are very reasonable.,"December 30, 2019"
55,Rated 5 stars out of five stars,Eva Andreanty,"Easy for buy vegetables and fruits .... and good quality 👍👍👍, the aplication user friendly but please give us the more more others item for fruits and vegetable. Thanks Sayurbox..... you help my family for buying all we are need.","November 4, 2019"
56,Rated 5 stars out of five stars,Jones Ordinary,"I really love it, the apps, the service.. no doubt","December 11, 2019"
57,Rated 5 stars out of five stars,eduardgoody,"A practical and easy way to shop for groceries. decent amount of choices of items with fair pricing. They also have a ""Less Plastic"" delivery option, which comes in a paper bag. Although, the content still have a few plastic (e.g. bubble wrap), but it is understandable. The delivery is spot on. Over...
Full Review","September 17, 2019"
58,Rated 5 stars out of five stars,theresia butarbutar,It's help a lot for person who is rare go to supermarket.,"January 4, 2020"
59,Rated 4 stars out of five stars,Muli Muljati,Always got refund bcs of unfulfilled items,"February 20, 2020"
60,Rated 5 stars out of five stars,Moe A.,grear convenient app for fresh veggies,"December 28, 2019"
61,Rated 5 stars out of five stars,Sylviana V Sundoro,Fress veggies and fruits to my door aaannnddd good value of money! Love it!,"December 17, 2019"
62,Rated 5 stars out of five stars,sri tutio,Very helpfull application,"February 26, 2020"
63,Rated 5 stars out of five stars,Lailani Ananda Putri,Good apps...great vegie n fruits...satisfied...thanks..,"January 8, 2020"
64,Rated 5 stars out of five stars,Savira Vira,"Dear Sayurbox, The application in the App store is very friendly to use, we can easily check the goods and order them efficiently. But sometimes when you go to the special promo tab, it can be pending for a few minutes and sometimes cannot open the tab. So far, I'm very helpful with sayurbox, the fr...
Full Review","March 25, 2019"
65,Rated 5 stars out of five stars,Mutia Kurniasari,One of the most trusted shop for fresh product 👍,"December 25, 2019"
66,Rated 5 stars out of five stars,Syakiroh Syauqi,"I'm waiting for payment method at this app using VA BNI Syariah or BNI Syariah transfer Bank. Well, I support it's useful apps where we can find an organic food and without plastic packaging... Always steadfast in your innovation","October 4, 2019"
67,Rated 5 stars out of five stars,Gilang Permatasari,"Nice app, nice quality. Thanks","January 26, 2020"
68,Rated 5 stars out of five stars,Riska Rahmayanti,"Fast delivery,,good packaging n product,,","November 23, 2019"
69,Rated 5 stars out of five stars,Fahmi R A,"Very useful, competitive price, on time delivery, and good fruits, vegetables","September 22, 2019"
70,Rated 5 stars out of five stars,Rhendy Caesar,"Great app, make it easy to but fruits and veggies. Stuff are fresh, good one! Sekarang jd rajin makan buah dan sayuuurr, makaaasih sayurbox!","September 13, 2019"
71,Rated 5 stars out of five stars,Angelita Palisoc,Very useful app especially for those people who wants to adopt a healthier lifestyle. All freshly delivered to your home. Loved it!,"September 16, 2019"
72,Rated 2 stars out of five stars,Rama Tri Antono,"They REALLY REALLY REALLY need to work on the apps. it doesn't work, it kept reloading every time i open it, spoke with their customer service but no improvement whatsoever until today. hope they sort this issue at the soonest, cos it gave unpleasant experience","May 29, 2019"
73,Rated 5 stars out of five stars,diana kusuma,Br pertama kl coba beli nih. Great deal.easy used app,"October 29, 2019"
74,Rated 5 stars out of five stars,Unch Things,"Fresh and affordable products. I can live a healthy life from now on Buttt, the app is a little bit suck. I cannot use it using community network wifi.","November 6, 2019"
75,Rated 5 stars out of five stars,Widya,"The app works properly and easy to use. Helping me to get super fresh fruits n vegetables with good quality, good price, and on time. Appreciated the packing. It use paper instead of plastic.","March 9, 2019"
76,Rated 3 stars out of five stars,Azzam Al Hadiq,"app quite good, transaction was success, and delivery as expected, but ui/ux can be improved, for example when completing address, the province option cannot being change except from the calendar option its give hassle for me. and some text on button, report, etc was buggy, i cannot see. on android ...
Full Review","August 17, 2019"
77,Rated 5 stars out of five stars,Alfi Azizah,Best and easiest way to get your needs in front of your door. Fresh veggies and fruits. Great package. Friendly customer services and couriers. Comfy-looking apps for shopping.,"November 8, 2019"
78,Rated 5 stars out of five stars,Ni Putu Saraswati Vradisca,"one word. AMAZING. very easy, lot of discount (yes!i love discount!!), all the information and instructions are very clear, the app's design is very neat. i just love it, keep up the good work!","July 24, 2019"
79,Rated 5 stars out of five stars,siti ismawati idris,"first time using this kind of application and it have all i need, really easy to use and pay, and deliveries on time and more important is the vegetables/fruits/packaging is in fresh condition.","March 21, 2019"
80,Rated 4 stars out of five stars,T W,"This app really helps me to live a healthier lifestyle, I can order fruits and get them delivered to my home. Sometimes the promo doesn't open no matter how long it loads. Need to fix this.","April 28, 2019"
81,Rated 5 stars out of five stars,sharfina justicia,"Very helpful for busy workers that want to stay healthy. The best is, its super efficient, just click and voila! Your groceries is arrived at your place the next day. Super quick and easy","September 12, 2019"
82,Rated 5 stars out of five stars,mellyana lim,Love this application.Always delivery fresh fruits and vegetables.,"October 19, 2019"
83,Rated 5 stars out of five stars,Toni Pegipegi,Super convenient! All the instruction is very helpful. I never imagined that buying groceries could be this seamless. There are also many promos!!,"September 12, 2019"
84,Rated 5 stars out of five stars,Rosevin Aquinaldi,Friendly user and quite various vegie and fruit . Really usefully for working mother like me 👍😁,"December 8, 2019"
